year,origin,dest,arr_time,arr_delay
2022,JFK,LAX,406,336
2022,JFK,LAX,1022,62
2022,JFK,LAX,1012,-17
2022,JFK,LAX,1133,-27
2022,JFK,LAX,1341,13
2022,JFK,LAX,1436,152
2022,JFK,LAX,1528,63
2022,JFK,LAX,1511,-18
2022,JFK,LAX,1649,-22
2022,JFK,LAX,1941,34
2022,JFK,LAX,2022,-8
2022,JFK,LAX,2207,-25
2022,JFK,LAX,5,125
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,937,7
2022,JFK,LAX,1003,-17
2022,JFK,LAX,1116,116
2022,JFK,LAX,1134,1
2022,JFK,LAX,1145,-15
2022,JFK,LAX,1202,-3
2022,JFK,LAX,1252,-9
2022,JFK,LAX,1341,-17
2022,JFK,LAX,1351,1
2022,JFK,LAX,1358,-27
2022,JFK,LAX,1535,0
2022,JFK,IAD,1636,6
2022,JFK,LAX,1837,-21
2022,JFK,LAX,1859,-9
2022,JFK,LAX,1936,-23
2022,JFK,LAX,2015,-22
2022,JFK,LAX,2049,84
2022,JFK,LAX,2119,20
2022,JFK,LAX,2200,0
2022,JFK,LAX,10,86
2022,JFK,LAX,2246,-17
2022,JFK,LAX,19,21
2022,JFK,LAX,39,-21
2022,JFK,IAD,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,928,-2
2022,JFK,LAX,1009,-11
2022,JFK,LAX,1055,-38
2022,JFK,LAX,1121,-39
2022,JFK,LAX,1155,24
2022,JFK,LAX,1151,-14
2022,JFK,LAX,1235,-26
2022,JFK,LAX,1353,-5
2022,JFK,LAX,1508,43
2022,JFK,LAX,1350,0
2022,JFK,LAX,1526,-9
2022,JFK,IAD,1624,-6
2022,JFK,LAX,1834,-24
2022,JFK,LAX,1837,-31
2022,JFK,LAX,1859,-26
2022,JFK,LAX,1949,-10
2022,JFK,LAX,2045,-14
2022,JFK,LAX,2219,102
2022,JFK,LAX,2230,-14
2022,JFK,LAX,2328,25
2022,JFK,IAD,2216,-15
2022,JFK,LAX,11,13
2022,JFK,LAX,33,123
2022,JFK,LAX,41,-19
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,941,7
2022,JFK,LAX,954,-26
2022,JFK,LAX,1051,-13
2022,JFK,LAX,1116,-15
2022,JFK,LAX,1138,-22
2022,JFK,LAX,1150,-15
2022,JFK,LAX,1339,-11
2022,JFK,LAX,1400,-25
2022,JFK,LAX,1440,68
2022,JFK,LAX,1444,-18
2022,JFK,LAX,1532,-3
2022,JFK,LAX,1732,12
2022,JFK,IAD,1559,-31
2022,JFK,LAX,1837,-10
2022,JFK,LAX,1928,20
2022,JFK,LAX,2005,1
